tag, ct, beta, theta, p, sigma, rho, epsilonA, epsilonI, lambda0, gammaA, gammaI, gammaD, cD, dD, dI, delta, S0, R0, Q0, E0, A0, I0, D0, day
CASES, Kyrgyzstan, 7.951065683712144e-06, 0.10000300866167579, 0.3299824023991764, 0.14285714285714285, 0.12, 0.035178382242069504, 0.39999998884638266, 0.014084507042253521, 0.1499999984562005, 0.1, 0.14976094220538846, 1.4, 0.0015184886408657892, 0.002125884097212105, 0.0001039829307880602, 825651.1502242764, 0, 956.4, 9.0, 3.5999999999999996, 5.4, 3, 71
CASES, Cuba, 5.655172076331661e-06, 0.10000022505454394, 0.32990373434184944, 0.14285714285714285, 0.12, 0.1968948450794168, 0.21177797170210283, 0.013333333333333334, 0.1499999999540026, 0.1, 0.14996652667837315, 1.4, 0.006499606335954862, 0.009099448870336806, 0.000177917078635903, 358731.35627451673, 0, 1184.3999999999999, 9.0, 3.5999999999999996, 5.4, 3, 75
CASES, Estonia, 9.999877064839514e-06, 0.15934823004415516, 0.3299999928866521, 0.14285714285714285, 0.12, 0.19849330255063152, 0.10000002125822674, 0.011627906976744186, 0.1360773865216894, 0.1, 0.11066132034956823, 1.4, 0.004117050249758457, 0.005763870349661839, 0.03324563391649882, 2548.294970923846, 0, 1104.0, 3.0, 1.2, 1.8, 1, 86
CASES, North_Macedonia, 1.5299309246619154e-09, 0.10725699050736844, 0.20418704294207038, 0.14285714285714285, 0.12, 0.1999999993849028, 0.39999993683171875, 0.012048192771084338, 0.14999992690775876, 0.1, 0.14883073499193553, 1.4, 0.009219603052597777, 0.012907444273636886, 0.0006688526348521684, 85887.87741605383, 0, 1224.0, 3.0, 1.2, 1.8, 1, 83
CASES, Mato_Grosso, 9.999941082185667e-06, 0.159627422361118, 0.0010000097131094583, 0.14285714285714285, 0.12, 0.1998393035253143, 0.10000054479724052, 0.014492753623188406, 0.10000546624293401, 0.1, 0.10011520112629597, 1.4, 0.0025684881493639794, 0.0035958834091095707, 0.0004969837682393674, 172509.1901640225, 0, 1103.3999999999999, 3.0, 1.2, 1.8, 1, 69
CASES, Croatia, 9.999999985042156e-06, 0.15114087715126046, 0.13619014410686947, 0.14285714285714285, 0.12, 0.05734596805765862, 0.10000000102456524, 0.011111111111111112, 0.14429094079075616, 0.1, 0.10000000049859686, 1.4, 0.004713019155556828, 0.00659822681777956, 0.02872539062322993, 8085.967267856178, 0, 1346.3999999999999, 3.0, 1.2, 1.8, 1, 90
CASES, Bosnia_and_Herzegovina, 9.99999999995844e-06, 0.15995014224369702, 0.16849613432819363, 0.14285714285714285, 0.12, 5.551115123125783e-17, 0.39999999806065445, 0.012987012987012988, 0.10000006170099522, 0.1, 0.14999990975510322, 1.4, 0.00991680664317889, 0.013883529300450446, 0.017435878266294058, 40445.25357099194, 0, 1461.0, 6.0, 2.4, 3.6, 2, 77
CASES, Gabon, 9.999944757360921e-06, 0.14287627932065533, 0.008900180335410214, 0.14285714285714285, 0.12, 0.012071107945231564, 0.1772722316176018, 0.013157894736842105, 0.12570792522675495, 0.1, 0.10466370229782648, 1.4, 0.0006357014456267119, 0.0008899820238773966, 0.00020074779639711604, 218092.6650614559, 0, 1391.3999999999999, 3.0, 1.2, 1.8, 1, 76
CASES, El_Salvador, 1.7985220179152995e-07, 0.15999954905319705, 0.007502121804036221, 0.14285714285714285, 0.12, 0.01666242845050241, 0.2562269402553079, 0.014084507042253521, 0.10000009276123566, 0.1, 0.12497260521340267, 1.4, 0.002354556330107587, 0.0032963788621506217, 4.920200108277095e-05, 6316134.461356036, 0, 1265.3999999999999, 3.0, 1.2, 1.8, 1, 71
CASES, Roraima, 9.99767701895024e-06, 0.1599999999738725, 0.026135608404531382, 0.14285714285714285, 0.12, 5.361258437197591e-10, 0.10000008598645549, 0.014925373134328358, 0.14836260734953338, 0.1, 0.14999995468212995, 1.4, 0.005930230766502812, 0.008302323073103936, 0.0013941582317091306, 237531.05059872245, 0, 1609.2, 6.0, 2.4, 3.6, 2, 67
CASES, Bulgaria, 1.3574347721289404e-07, 0.1000003542562247, 0.10172011915063, 0.14285714285714285, 0.12, 0.19999999999980958, 0.3999133305819218, 0.012658227848101266, 0.14554345716757178, 0.1, 0.10010623450077713, 1.4, 0.005721585384015194, 0.008010219537621271, 0.0003442334332113828, 231371.63518469184, 0, 1476.0, 6.0, 2.4, 3.6, 2, 79
CASES, Democratic_Republic_of_the_Congo, 9.998247702759833e-06, 0.10000015486804716, 0.0010000040699179725, 0.14285714285714285, 0.12, 0.1999994699038246, 0.19980131634721102, 0.012987012987012988, 0.10013625712272031, 0.1, 0.10142288675436313, 1.4, 0.0026618125431480868, 0.003726537560407321, 0.000784811659863438, 220040.31721878037, 0, 1595.3999999999999, 3.0, 1.2, 1.8, 1, 77
CASES, Cote_dIvoire, 3.573408455235502e-06, 0.10677221041546121, 0.12159109914556586, 0.14285714285714285, 0.12, 0.0007171635414242151, 0.39590803444209843, 0.013157894736842105, 0.10427571740632699, 0.1, 0.10047865658163874, 1.4, 0.0012335993481310103, 0.0017270390873834142, 0.0001535230064188542, 1526320.1621551402, 0, 1533.6, 3.0, 1.2, 1.8, 1, 76
CASES, Tocantins, 9.999999806534035e-06, 0.15999990229841982, 0.01159376941428663, 0.14285714285714285, 0.12, 1.649032022044139e-10, 0.10000015624377877, 0.014285714285714285, 0.10000028529234553, 0.1, 0.14993966436513298, 1.4, 0.0032948202108633007, 0.00461274829520862, 0.00010093546534012399, 256467.91140064018, 0, 1813.8, 3.0, 1.2, 1.8, 1, 70
CASES, Greece, 4.789355228802528e-09, 0.1086210624918596, 0.329897463603255, 0.14285714285714285, 0.12, 0.1994481807272711, 0.39998947689123665, 0.011111111111111112, 0.1499810329038631, 0.1, 0.1414453711238713, 1.4, 0.008963387986970597, 0.012548743181758835, 0.0003460629324618658, 237903.67283005317, 0, 1741.8, 3.0, 1.2, 1.8, 1, 90
