,tag,ct,beta,theta,p,sigma,rho,epsilonA,epsilonI,lambda0,gammaA,gammaI,gammaD,cD,dD,dI,delta,S0,R0,Q0,E0,A0,I0,D0,day
17,CASES,Cyprus,1.9182364409136234e-07,0.10010286826156503,0.2943900972464061,0.14285714285714285,0.12,1.1468348493082205e-11,0.3996551683541501,0.011904761904761904,0.14825939670482585,0.1,0.149570578469025,1.4,0.0027194650630731816,0.003807251088302454,0.0021531262728683442,94662.27924221399,0,571.1999999999998,6.0,2.4,3.6,2,84
94,CASES,Czechia,4.99380450612647e-06,0.15948412754306854,0.07129165642493179,0.14285714285714285,0.12,0.024987279265602468,0.36779039035772265,0.010638297872340424,0.10000010742011964,0.1,0.10226899615520446,1.4,0.003653676115267232,0.005115146561374124,0.057338484468337884,30422.542495218164,0,5618.4,9.0,3.6,5.4,3,94
63,CASES,Democratic_Republic_of_the_Congo,9.999999990497411e-06,0.15999939925866266,0.0010052128616466767,0.14285714285714285,0.12,0.09721944065485623,0.1000001067345284,0.012048192771084338,0.10000127921180137,0.1,0.1009648089603994,1.4,0.0022346960483088704,0.0031285744676324183,0.0019465950662888032,122686.31134147092,0,1995.0,3.0,1.2,1.8,1,83
107,CASES,Denmark,9.999999659705476e-06,0.15999999040717156,0.018214760258807645,0.14285714285714285,0.12,0.004236769126734629,0.12272666053761246,0.010204081632653059,0.10000034112446092,0.1,0.1106456704114407,1.4,0.005753495502836257,0.008054893703970759,0.034378089977020465,125070.04066012688,0,7040.4,3.0,1.2,1.8,1,98
103,CASES,Distrito_Federal,9.98017970678421e-06,0.15999999957797367,0.0010000000069446792,0.14285714285714285,0.12,0.1759811888745515,0.1000000029012325,0.0064516129032258064,0.100001154935398,0.1,0.10100770922662723,1.4,0.0016137164485163845,0.0022592030279229387,0.00016889212237902743,133504.25194899595,0,6753.5999999999985,3.0,1.2,1.8,1,155
64,CASES,Djibouti,9.9996435704088e-06,0.15999999754012112,0.07281077549586487,0.14285714285714285,0.12,0.037873146236054894,0.1000000477625853,0.012987012987012988,0.10000000008245004,0.1,0.1000856852983104,1.4,0.0006665269399194887,0.000933137715887284,7.994102607689069e-05,426383.69796329294,0,2267.4,3.0,1.2,1.8,1,77
118,CASES,Dominican_Republic,2.256927964653044e-06,0.1140379151729511,0.0017338136295799484,0.14285714285714285,0.12,0.05886070309780225,0.2549557378886512,0.011764705882352941,0.1000234948711899,0.1,0.128647195609407,1.4,0.003843668024531218,0.005381135234343705,0.01593454850695475,362605.26588963607,0,10651.2,3.0,1.2,1.8,1,85
138,CASES,Ecuador,5.166079067384655e-06,0.15999999744989807,0.001000000183947567,0.14285714285714285,0.12,4.622043432505052e-05,0.3999998567101583,0.011111111111111113,0.10000001464561978,0.1,0.1499996615008929,1.4,0.013946852992213049,0.01952559418909827,0.008724557033543467,424679.73048799,0,24248.4,3.0,1.2,1.8,1,90
126,CASES,Egypt,8.565436663767704e-06,0.13603938664870244,0.015559193626037063,0.14285714285714285,0.12,0.09965193041029503,0.12105341211002844,0.009433962264150943,0.10000498943601284,0.1,0.10023907165798714,1.4,0.0039817060634421714,0.0055743884888190395,4.773959005888173e-15,361991.9448935907,0,16521.6,3.0,1.2,1.8,1,106
56,CASES,El_Salvador,9.99999999202198e-06,0.15999999970096984,0.011911755553033906,0.14285714285714285,0.12,2.6826318944017665e-13,0.29812854916908144,0.012987012987012988,0.12481040894305433,0.1,0.1494768835072521,1.4,0.0028127370552439913,0.003937831877341588,0.00144193212551752,175319.12958332882,0,1591.8,3.0,1.2,1.8,1,77
