,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
141,21/01/2020,21,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
142,20/01/2020,20,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
143,19/01/2020,19,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
144,18/01/2020,18,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
145,17/01/2020,17,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
146,16/01/2020,16,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
147,15/01/2020,15,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
148,14/01/2020,14,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
149,13/01/2020,13,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
150,12/01/2020,12,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
151,11/01/2020,11,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
152,10/01/2020,10,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
153,09/01/2020,9,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
154,08/01/2020,8,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
155,07/01/2020,7,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
156,06/01/2020,6,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
157,05/01/2020,5,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
158,04/01/2020,4,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
159,03/01/2020,3,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
160,02/01/2020,2,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
161,01/01/2020,1,1,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
162,31/12/2019,31,12,2019,0,0.0,Afghanistan,AF,AFG,38041757,Asia
163,20/06/2020,20,6,2020,50,3.0,Albania,AL,ALB,2880913,Europe
164,19/06/2020,19,6,2020,66,1.0,Albania,AL,ALB,2880913,Europe
165,18/06/2020,18,6,2020,50,1.0,Albania,AL,ALB,2880913,Europe
166,17/06/2020,17,6,2020,82,1.0,Albania,AL,ALB,2880913,Europe
167,16/06/2020,16,6,2020,69,0.0,Albania,AL,ALB,2880913,Europe
168,15/06/2020,15,6,2020,57,0.0,Albania,AL,ALB,2880913,Europe
169,14/06/2020,14,6,2020,48,0.0,Albania,AL,ALB,2880913,Europe
170,13/06/2020,13,6,2020,31,1.0,Albania,AL,ALB,2880913,Europe
171,12/06/2020,12,6,2020,44,1.0,Albania,AL,ALB,2880913,Europe
172,11/06/2020,11,6,2020,42,0.0,Albania,AL,ALB,2880913,Europe
173,10/06/2020,10,6,2020,36,0.0,Albania,AL,ALB,2880913,Europe
174,09/06/2020,9,6,2020,17,0.0,Albania,AL,ALB,2880913,Europe
175,08/06/2020,8,6,2020,14,0.0,Albania,AL,ALB,2880913,Europe
176,07/06/2020,7,6,2020,20,1.0,Albania,AL,ALB,2880913,Europe
177,06/06/2020,6,6,2020,15,0.0,Albania,AL,ALB,2880913,Europe
178,05/06/2020,5,6,2020,13,0.0,Albania,AL,ALB,2880913,Europe
179,04/06/2020,4,6,2020,20,0.0,Albania,AL,ALB,2880913,Europe
