ct, success, chisqr, redchi, aic, bic, nfev, nvarys, ndata, nfree, gammaD, S0, beta, theta, p, epsilonA, epsilonI, gammaA, cD, delta
Jordan, True, 738504.1670397689, 11361.602569842598, 709.6170432480359, 732.791924383399, 1061, 10, 75, 65, 0.10055985087864512, 69677.31820355945, 9.999997787220493e-06, 0.10007844728460011, 0.32999999976543454, 0.1000100251817496, 0.3999997538774641, 0.14994523957614064, 1.4, 0.0004200794418707243
Jamaica, True, 142570.04415123022, 2193.385294634311, 586.2575436719538, 609.4324248073169, 1856, 10, 75, 65, 0.1492541916968837, 204982.89375290324, 9.99995454215847e-06, 0.1599940547771076, 0.08065421798692356, 0.023578500731300547, 0.14450099664609545, 0.1499999989120319, 1.4, 0.0002241317025313827
Palestine, True, 67312.15619446443, 975.5384955719484, 553.0642136314285, 576.7586921560987, 1632, 10, 79, 69, 0.14446919561020977, 282262.45289801667, 9.986584151353115e-06, 0.15999277906870607, 0.0580039064194597, 0.04127196704371973, 0.10793465716883746, 0.14999999883717052, 1.4, 7.383537886651581e-08
Central_African_Republic, True, 9800.3733905511, 158.0705385572758, 373.7726945115265, 396.53935570168704, 1501, 10, 72, 62, 0.14914367260521993, 157795.37598462042, 9.999999414411074e-06, 0.15999999758085567, 0.0010000036532672638, 2.449680536198429e-09, 0.10000002677865252, 0.10000057544489008, 1.4, 0.0004013839553921317
Chad, True, 50751.113443392824, 875.0191972998763, 469.83231692558076, 492.02739397734183, 2615, 10, 68, 58, 0.1498668156093861, 525204.6566279904, 6.28174642658896e-06, 0.15999995955350668, 0.030946682282712003, 6.469199087533184e-09, 0.10000110318203473, 0.14764043288474643, 1.4, 2.362814837686411e-05
Ethiopia, True, 49866.78247355647, 779.1684761493199, 501.965351088388, 525.0060020204297, 2958, 10, 74, 64, 0.13932681547646447, 159274.35369082532, 9.743090332842619e-06, 0.15999985471137865, 0.0010000000646441843, 0.13888353492150504, 0.12629680297985837, 0.10000077355298671, 1.4, 1.468295039269707e-05
Paraguay, True, 206476.42362014932, 3128.4306609113532, 620.947821166837, 644.2551545697003, 3504, 10, 76, 66, 0.10015014612149553, 65638.96278356107, 9.999999032022e-06, 0.15999750425811063, 0.008124901764442347, 0.06964573184677639, 0.10109829849484321, 0.10000131870516983, 1.4, 0.0016450976968764297
Sierra_Leone, True, 6055.3645631345125, 131.63836006814157, 282.2674976347853, 302.52101454213675, 4996, 10, 56, 46, 0.10003287398354235, 86961.09435158287, 9.999970561839614e-06, 0.15999793659790393, 0.014328545045907855, 0.019127948554327024, 0.1000023279335337, 0.10002004696932854, 1.4, 0.0023404015865342576
Latvia, True, 32648991.014768988, 459844.94386998576, 1065.4569037928193, 1089.4013953395436, 29, 10, 81, 71, 0.11793117092727455, 824211.5646469407, 6.404351134703605e-06, 0.12807097774198165, 0.15081268431930098, 0.041899912870639794, 0.20015907670956917, 0.11638382512812476, 1.4, 0.00010008573848091507
Tunisia, True, 2033674.1926774327, 29473.53902431062, 822.3166379664665, 846.0111164911367, 526, 10, 79, 69, 0.10063772901255197, 209877.65421832533, 9.999516702350835e-06, 0.15993415861315863, 0.32991568467483184, 0.19999999963242732, 0.3965967478209781, 0.12417903627298335, 1.4, 0.00015453921525232506
